"","match_id","team.name","player.id","player.name","position.name","type.name"
"2",3788741,"Italy",7036,"Gianluigi Donnarumma","Goalkeeper","Starting XI"
"3",3788741,"Italy",6964,"Alessandro Florenzi","Right Back","Starting XI"
"4",3788741,"Italy",7173,"Leonardo Bonucci","Right Center Back","Starting XI"
"5",3788741,"Italy",6954,"Giorgio Chiellini","Left Center Back","Starting XI"
"6",3788741,"Italy",8286,"Leonardo Spinazzola","Left Back","Starting XI"
"7",3788741,"Italy",7024,"Jorge Luiz Frello Filho","Center Defensive Midfield","Starting XI"
"8",3788741,"Italy",8181,"Nicolò Barella","Right Center Midfield","Starting XI"
"9",3788741,"Italy",7038,"Manuel Locatelli","Left Center Midfield","Starting XI"
"10",3788741,"Italy",7131,"Domenico Berardi","Right Wing","Starting XI"
"11",3788741,"Italy",7037,"Lorenzo Insigne","Left Wing","Starting XI"
"12",3788741,"Italy",7788,"Ciro Immobile","Center Forward","Starting XI"
"13",3788741,"Italy",11514,"Giovanni Di Lorenzo","Right Back","Substitution"
"14",3788741,"Italy",6993,"Bryan Cristante","Left Center Midfield","Substitution"
"15",3788741,"Italy",7156,"Federico Chiesa","Left Wing","Substitution"
"16",3788741,"Italy",7471,"Andrea Belotti","Center Forward","Substitution"
"17",3788741,"Italy",7777,"Federico Bernardeschi","Right Wing","Substitution"
"18",3788741,"Turkey",30357,"Ugurcan Çakir","Goalkeeper","Starting XI"
"19",3788741,"Turkey",10349,"Mehmet Zeki Çelik","Right Back","Starting XI"
"20",3788741,"Turkey",23558,"Merih Demiral","Right Center Back","Starting XI"
"21",3788741,"Turkey",8963,"Caglar Söyüncü","Left Center Back","Starting XI"
"22",3788741,"Turkey",31042,"Cengiz Umut Meras","Left Back","Starting XI"
"23",3788741,"Turkey",12555,"Okay Yokuslu","Center Defensive Midfield","Starting XI"
"24",3788741,"Turkey",8541,"Kenan Karaman","Right Midfield","Starting XI"
"25",3788741,"Turkey",29989,"Yusuf Yazici","Right Center Midfield","Starting XI"
"26",3788741,"Turkey",11088,"Ozan Tufan","Left Center Midfield","Starting XI"
"27",3788741,"Turkey",7039,"Hakan Çalhanoglu","Left Midfield","Starting XI"
"28",3788741,"Turkey",11086,"Burak Yilmaz","Center Forward","Starting XI"
"29",3788741,"Turkey",6971,"Cengiz Ünder","Right Center Midfield","Substitution"
"30",3788741,"Turkey",12293,"Kaan Ayhan","Left Center Midfield","Substitution"
"31",3788741,"Turkey",30311,"Irfan Can Kahveci","Center Defensive Midfield","Substitution"
"32",3788741,"Turkey",21567,"Ibrahim Halil Dervisoglu","Right Midfield","Substitution"
"33",3788744,"Switzerland",5550,"Yann Sommer","Goalkeeper","Starting XI"
"34",3788744,"Switzerland",8814,"Nico Elvedi","Right Center Back","Starting XI"
"35",3788744,"Switzerland",5537,"Fabian Lukas Schär","Center Back","Starting XI"
"36",3788744,"Switzerland",5549,"Manuel Obafemi Akanji","Left Center Back","Starting XI"
"37",3788744,"Switzerland",16027,"Kevin Mbabu","Right Wing Back","Starting XI"
"38",3788744,"Switzerland",5544,"Ricardo Iván Rodríguez Araya","Left Wing Back","Starting XI"
"39",3788744,"Switzerland",6983,"Remo Freuler","Right Defensive Midfield","Starting XI"
"40",3788744,"Switzerland",3500,"Granit Xhaka","Left Defensive Midfield","Starting XI"
"41",3788744,"Switzerland",3533,"Xherdan Shaqiri","Center Attacking Midfield","Starting XI"
"42",3788744,"Switzerland",5543,"Haris Seferovic","Right Center Forward","Starting XI"
"43",3788744,"Switzerland",5545,"Breel-Donald Embolo","Left Center Forward","Starting XI"
"44",3788744,"Switzerland",5538,"Denis Lemi Zakaria Lako Lado","Center Attacking Midfield","Substitution"
"45",3788744,"Switzerland",5834,"Mario Gavranovic","Right Center Forward","Substitution"
"46",3788744,"Wales",9914,"Danny Ward","Goalkeeper","Starting XI"
"47",3788744,"Wales",4774,"Connor Roberts","Right Back","Starting XI"
"48",3788744,"Wales",4767,"Chris Mepham","Right Center Back","Starting XI"
"49",3788744,"Wales",11250,"Joe Rodon","Left Center Back","Starting XI"
"50",3788744,"Wales",3086,"Ben Davies","Left Back","Starting XI"
"51",3788744,"Wales",10931,"Joe Allen","Center Defensive Midfield","Starting XI"
